company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes,known_total_layoffs,known_impacted_workforce_percentage
C2FO,20.0,2.0,2022-12-09,"fintech, payments","Leawood, KS",Kansas City Business Journal,Private,None,1,1
VideoAmp,,2.0,2022-09-19,advertising platforms,Los Angeles,Company memo,Private,None,0,1
Amperity,13.0,3.0,2022-08-20,"saas, analytics",Seattle,Geekwire,Private,None,1,1
Addepar,20.0,3.0,2023-01-18,"fintech, data analytics","Mountain View, CA",Fortune,Private,None,1,1
Thirty Madison,24.0,3.0,2022-05-13,health care,New York,Axios,Private,"Per Axios, 22 of the employees laid off were from Thirty Madison, and two were from new parent company Nurx. Layoffs affected around 3% of employees.",1,1
NextRoll,,3.0,2022-07-08,marketing tech,San Francisco,Business Insider,Private,None,0,1
Armis Security,25.0,4.0,2022-12-08,cybersecurity,San Francisco,Calcalistech,Private,None,1,1
Foxtrot,26.0,4.0,2022-09-23,"food and beverage, e-commerce",Chicago,Chicago Business,Private,None,1,1
Headspace Health,50.0,4.0,2022-12-14,"telehealth, wellness",Los Angeles,Bloomberg,Private,None,1,1
RealSelf,11.0,5.0,2022-07-21,beauty tech,Seattle,GeekWire,Private,None,1,1
New Relic,110.0,5.0,2022-08-18,"productivity, enterprise software","Bay Area, CA",MarketWatch,Private,None,1,1
Abra,12.0,5.0,2022-06-30,crypto,Mountain View,The Block,Private,None,1,1
Clarify Health,15.0,5.0,2022-07-22,health care,San Francisco,Axios,Private,None,1,1
Argo AI,150.0,5.0,2022-07-07,transportation,Pittsburgh,TechCrunch,Private,None,1,1
Snyk,220.0,5.0,2022-10-24,cybersecurity,Boston,Globes,Private,None,1,1
JOKR,50.0,5.0,2022-06-16,"food delivery, ecommerce",New York,TechCrunch,Private,None,1,1
Project44,63.0,5.0,2022-07-15,logistics,Chicago,FreightWaves,Private,None,1,1
Reef,750.0,5.0,2022-05-06,"food delivery, ecommerce",Miami,The Information,Private,None,1,1
Outreach,,5.0,2022-08-02,sales tech,Seattle,LinkedIn,Private,None,0,1
Boosted Commerce,,5.0,2022-07-25,e-commerce,Los Angeles,Business Insider,Private,None,0,1
Forward,,5.0,2022-07-11,health care,San Francisco,Fierce Healthcare,Private,None,0,1
CoinDCX,100.0,6.0,2023-01-11,"blockchain, cryptocurrency","Mumbai, India",Biometric Update,Private,None,1,1
Food52,20.0,6.0,2022-04-08,"media, e-commerce",New York,Digiday,Private,None,1,1
Motive,237.0,6.0,2022-12-07,"enterprise software, productivity",San Francisco,Motive,Private,None,1,1
Canoo,58.0,6.0,2022-07-01,transportation,"Torrance, California",Business Insider,Private,None,1,1
Wonder,130.0,7.0,2022-11-30,"food delivery, ecommerce",New York,The Information,Private,None,1,1
Argyle,20.0,7.0,2022-08-26,insurtech,New York,TechCrunch,Private,None,1,1
Kabam,35.0,7.0,2022-11-09,video games,San Francisco,TechCrunch,Private,None,1,1
Upstart,60.0,7.0,2022-11-01,fintech,"San Carlos, CA",TechCrunch,Private,None,1,1
Gemini,68.0,7.0,2022-07-18,crypto,New York,TechCrunch,Private,None,1,1
Faire,84.0,7.0,2022-11-03,"e-commerce, retail",San Francisco,The Information,Private,None,1,1
Convoy,90.0,7.0,2022-06-09,logistics,Seattle,GeekWire,Private,None,1,1
DataRobot,,7.0,2022-08-08,artificial intelligence,Boston,Boston Globe,Private,None,0,1
ShipBob,,7.0,2022-08-25,"shipping, logistics",Chicago,Business Insider,Private,None,0,1
ClickUp,,7.0,2022-05-24,productivity tools,San Diego,Protocol,Private,None,0,1
Innovaccer,120.0,8.0,2022-09-01,"cloud infrastructure, health care",San Francisco,Inc42,Private,None,1,1
StockX,120.0,8.0,2022-06-28,e-commerce,Detroit,The Information,Private,None,1,1
Albert,20.0,8.0,2022-06-10,fintech,Los Angeles,dot.LA,Private,None,1,1
Personetics,30.0,8.0,2023-01-05,"fintech, analytics",New York,Calcalistech,Private,None,1,1
Bright Machines,30.0,8.0,2022-06-28,robotics,San Francisco,CTech,Private,None,1,1
Stash Financial,32.0,8.0,2022-12-06,"fintech, personal finance",New York,Stash,Private,None,1,1
Dutchie,56.0,8.0,2022-06-06,cannabis,"Bend, Oregon",GeekWire,Private,None,1,1
Stord,59.0,8.0,2022-06-03,logistics,Atlanta,Business Insider,Private,None,1,1
Niantic,85.0,8.0,2022-06-29,"video games, ar",San Francisco,Bloomberg,Private,None,1,1
Picsart,90.0,8.0,2022-05-17,media/entertainment,Miami,The Information,Private,None,1,1
Jellysmack,,8.0,2022-06-09,media/entertainment,New York,Business Insider,Private,None,0,1
Remote,100.0,9.0,2022-07-06,hr tech,San Francisco,Publico,Private,None,1,1
Vox Media,169.0,9.0,2023-01-20,"digital media, journalism","Washington, DC",CNN,Private,None,1,1
Yotpo,70.0,9.0,2022-11-16,"marketing, media",New York,Calcalistech,Private,None,1,1
Aura,70.0,9.0,2022-06-24,cybersecurity,Boston,Bank Info Security,Private,None,1,1
Komodo Health,78.0,9.0,2022-12-13,"health care, predictive analytics",San Francisco,TechCrunch,Private,None,1,1
Jellyfish US,,9.0,2023-01-13,"engineering, software",Boston,BostonInno,Private,None,0,1
